time,normEDA,normHRV,normHR,s_instant,s_t,height
9291.0000,42.0512,24.6495,2.0216,28.8248,29.5553,
9292.0000,41.9529,24.6495,2.0216,28.7756,29.5254,
9293.0000,42.0512,24.6495,2.0216,28.8248,29.4970,
9294.0000,41.8002,24.6495,2.0216,28.6993,29.4679,
9295.0000,42.0512,24.6495,2.0216,28.8248,29.4399,
9296.0000,41.8183,24.6495,2.0216,28.7083,29.4115,
9297.0000,41.8546,24.6495,2.0216,28.7265,29.3826,
9298.0000,41.8804,24.6495,2.0216,28.7394,29.3553,
9299.0000,41.7821,24.6495,2.0216,28.6902,29.3271,
9300.0000,41.7459,24.6495,2.0216,28.6721,29.2986,
9301.0000,41.5674,24.6495,2.0216,28.5829,29.2703,
9302.0000,41.6916,24.6495,2.0216,28.6450,29.2427,
9303.0000,41.6036,24.5930,2.0699,28.5937,29.2140,
9304.0000,41.5932,24.5930,2.0699,28.5885,29.1870,
9305.0000,41.5312,24.5930,2.0699,28.5574,29.1583,
9306.0000,41.3682,24.5930,2.0699,28.4759,29.1314,
9307.0000,41.4768,24.5930,2.0699,28.5303,29.1050,
9308.0000,41.2983,24.5930,2.0699,28.4410,29.0774,
9309.0000,41.3319,24.5930,2.0699,28.4578,29.0502,
9310.0000,41.4225,24.5930,2.0699,28.5031,29.0247,
9311.0000,41.2621,24.5930,2.0699,28.4229,28.9987,
9312.0000,41.4225,24.5930,2.0699,28.5031,28.9739,
9313.0000,41.0447,24.5930,2.0699,28.3142,28.9466,
9314.0000,41.1353,24.5930,2.0699,28.3595,28.9203,
9315.0000,41.0810,24.5930,2.0699,28.3324,28.8919,
9316.0000,41.0913,24.5930,2.0699,28.3375,28.8668,
9317.0000,40.9206,24.5930,2.0699,28.2521,28.8391,
9318.0000,40.8662,24.5930,2.0699,28.2250,28.8131,
9319.0000,40.9749,23.6113,1.8814,27.9471,28.7800,
9320.0000,40.8300,23.6113,1.8814,27.8747,28.7472,
9321.0000,40.9749,23.6113,1.8814,27.9471,28.7156,
9322.0000,40.7938,23.6113,1.8814,27.8566,28.6876,
9323.0000,40.7317,23.6113,1.8814,27.8255,28.6597,
9324.0000,40.8300,23.6113,1.8814,27.8747,28.6328,
9325.0000,40.6877,23.6113,1.8814,27.8035,28.6056,
9326.0000,40.6877,23.6113,1.8814,27.8035,28.5764,
9327.0000,40.5428,23.6113,1.8814,27.7311,28.5493,
9328.0000,40.5428,23.6113,1.8814,27.7311,28.5210,
9329.0000,40.7757,23.6113,1.8814,27.8475,28.4957,
9330.0000,40.6153,23.6113,1.8814,27.7673,28.4693,
9331.0000,40.6515,23.6113,1.8814,27.7854,28.4424,
9332.0000,40.4730,23.6113,1.8814,27.6962,28.4163,
9333.0000,40.5066,23.6113,1.8814,27.7130,28.3883,
9334.0000,40.4083,23.6113,1.8814,27.6638,28.3609,
9335.0000,40.3281,23.6113,2.2432,27.6961,28.3355,
9336.0000,40.4186,23.6113,2.2432,27.7413,28.3102,
9337.0000,40.2660,23.6113,2.2432,27.6650,28.2855,
9338.0000,40.2556,23.6113,2.2432,27.6598,28.2595,
9339.0000,40.2660,23.6113,2.2432,27.6650,28.2360,
9340.0000,40.2556,23.6113,2.2432,27.6598,28.2113,
9341.0000,40.1496,23.6113,2.2432,27.6068,28.1869,
9342.0000,40.0409,23.6113,2.2432,27.5525,28.1624,
9343.0000,40.3022,23.6113,2.2432,27.6831,28.1396,
9344.0000,40.1133,23.6113,2.2432,27.5887,28.1174,
9345.0000,40.0590,23.6113,2.2432,27.5615,28.0921,
9346.0000,40.0409,23.6113,2.2432,27.5525,28.0690,
9347.0000,39.8701,23.6113,2.2432,27.4671,28.0438,
9348.0000,40.0590,23.6113,2.2432,27.5615,28.0203,
9349.0000,39.8443,23.6113,2.2432,27.4542,27.9956,
9350.0000,39.9167,23.6113,2.2432,27.4904,27.9719,
9351.0000,39.7537,25.3770,2.6011,28.0102,27.9605,
9352.0000,39.8986,25.3770,2.6011,28.0826,27.9492,
9353.0000,39.8443,25.3770,2.6011,28.0555,27.9385,
9354.0000,39.7640,25.3770,2.6011,28.0154,27.9270,
9355.0000,39.8624,25.3770,2.6011,28.0645,27.9171,
9356.0000,39.7175,25.3770,2.6011,27.9921,27.9075,
9357.0000,39.6916,25.3770,2.6011,27.9791,27.8964,
9358.0000,39.6813,25.3770,2.6011,27.9740,27.8871,
9359.0000,39.5829,25.3770,2.6011,27.9248,27.8764,
9360.0000,39.7278,25.3770,2.6011,27.9973,27.8663,
9361.0000,39.4122,25.3770,2.6011,27.8394,27.8546,
9362.0000,39.5286,25.3770,2.6011,27.8976,27.8425,
9363.0000,39.3242,25.3770,2.6011,27.7954,27.8322,
9364.0000,39.4665,25.3770,2.6011,27.8666,27.8223,
9365.0000,39.3320,25.3770,2.6011,27.7993,27.8116,
9366.0000,39.3061,25.7094,2.5093,27.8677,27.8022,
9367.0000,39.1974,25.7094,2.5093,27.8134,27.7935,
9368.0000,39.2337,25.7094,2.5093,27.8315,27.7856,
9369.0000,39.3242,25.7094,2.5093,27.8768,27.7842,
9370.0000,39.1069,25.7094,2.5093,27.7681,27.7821,
9371.0000,39.1172,25.7094,2.5093,27.7733,27.7786,
9372.0000,39.1431,25.7094,2.5093,27.7862,27.7772,
9373.0000,39.1069,25.7094,2.5093,27.7681,27.7760,
9374.0000,39.1431,25.7094,2.5093,27.7862,27.7743,
9375.0000,38.9646,25.7094,2.5093,27.6970,27.7721,
9376.0000,39.0551,25.7094,2.5093,27.7423,27.7709,
9377.0000,39.0008,25.7094,2.5093,27.7151,27.7706,
9378.0000,38.9723,25.7094,2.5093,27.7009,27.7700,
9379.0000,39.0551,25.7094,2.5093,27.7423,27.7679,
9380.0000,38.9103,25.7094,2.5093,27.6698,27.7659,
9381.0000,38.8482,25.7094,2.5093,27.6388,27.7630,
9382.0000,38.8921,26.4589,2.6638,27.9165,27.7674,
9383.0000,38.9646,26.4589,2.6638,27.9527,27.7722,
9384.0000,38.8300,26.4589,2.6638,27.8854,27.7766,
9385.0000,38.8559,26.4589,2.6638,27.8984,27.7807,
9386.0000,38.8740,26.4589,2.6638,27.9074,27.7840,
9387.0000,38.6955,26.4589,2.6638,27.8182,27.7871,
9388.0000,38.8740,26.4589,2.6638,27.9074,27.7920,
9389.0000,38.7498,26.4589,2.6638,27.8453,27.7956,
9390.0000,38.8921,26.4589,2.6638,27.9165,27.8008,
9391.0000,38.8042,26.4589,2.6638,27.8725,27.8061,
9392.0000,38.6852,26.4589,2.6638,27.8130,27.8113,
9393.0000,38.7861,26.4589,2.6638,27.8635,27.8149,
9394.0000,38.7317,26.4589,2.6638,27.8363,27.8198,
9395.0000,38.8197,26.4589,2.6638,27.8803,27.8262,
9396.0000,38.7498,26.4589,2.6638,27.8453,27.8321,
9397.0000,38.8197,26.4589,2.6638,27.8803,27.8403,
9398.0000,38.6774,26.6490,2.5836,27.8501,27.8461,
9399.0000,38.7214,26.6490,2.5836,27.8721,27.8545,
9400.0000,38.7938,26.6490,2.5836,27.9083,27.8628,
9401.0000,38.8559,26.6490,2.5836,27.9394,27.8614,
