tick_n,phase,status,raw_eda,raw_hr,raw_hrv,smooth_eda,smooth_hr,smooth_hrv
277,LIVE,NEW_DATA,8.4756,98.4355,35.4296,8.4756,98.4355,35.4296
278,LIVE,NEW_DATA,8.9701,98.2823,35.4036,8.9701,98.2823,35.4036
279,LIVE,NEW_DATA,8.7336,98.4933,35.0746,8.7336,98.4933,35.0746
280,LIVE,NEW_DATA,9.8641,98.0184,34.9690,9.8641,98.0184,34.9690
281,LIVE,NEW_DATA,9.7663,97.6044,34.9759,9.7663,97.6044,34.9759
282,LIVE,NEW_DATA,9.7074,97.7699,35.3307,9.7074,97.7699,35.3307
283,LIVE,NEW_DATA,8.3098,97.7458,35.3452,8.3098,97.7458,35.3452
284,LIVE,NEW_DATA,8.4229,97.7096,35.6098,8.4229,97.7096,35.6098
285,LIVE,NEW_DATA,8.4173,97.7034,35.3712,8.4173,97.7034,35.3712
286,LIVE,NEW_DATA,9.7545,98.0046,35.3611,9.7545,98.0046,35.3611
287,LIVE,NEW_DATA,8.2495,96.8107,35.5071,8.2495,96.8107,35.5071
288,LIVE,NEW_DATA,9.5950,97.6816,35.4597,9.5950,97.6816,35.4597
289,LIVE,NEW_DATA,8.5449,97.8078,35.5706,8.5449,97.8078,35.5706
290,LIVE,NEW_DATA,8.4416,97.7007,35.6479,8.4416,97.7007,35.6479
291,LIVE,NEW_DATA,8.9306,97.4702,35.7656,8.9306,97.4702,35.7656
292,LIVE,NEW_DATA,9.5517,97.2322,35.7733,9.5517,97.2322,35.7733
293,LIVE,NEW_DATA,9.7878,97.4680,35.9339,9.7878,97.4680,35.9339
294,LIVE,NEW_DATA,8.4430,97.6422,35.9677,8.4430,97.6422,35.9677
295,LIVE,NEW_DATA,10.2872,98.0360,36.8617,10.2872,98.0360,36.8617
296,LIVE,NEW_DATA,9.9210,98.4912,37.4143,9.9210,98.4912,37.4143
297,LIVE,NEW_DATA,8.5720,98.7318,37.4251,8.5720,98.7318,37.4251
298,LIVE,NEW_DATA,10.0916,98.7925,37.3823,10.0916,98.7925,37.3823
299,LIVE,NEW_DATA,10.1249,98.5132,37.4832,10.1249,98.5132,37.4832
300,LIVE,NEW_DATA,9.0651,98.1067,37.7960,9.0651,98.1067,37.7960
301,LIVE,NEW_DATA,10.3607,97.8758,37.7771,10.3607,97.8758,37.7771
302,LIVE,NEW_DATA,10.2886,97.7237,37.4463,10.2886,97.7237,37.4463
303,LIVE,NEW_DATA,10.1832,97.7324,36.7514,10.1832,97.7324,36.7514
304,LIVE,NEW_DATA,8.6850,98.4518,36.2532,8.6850,98.4518,36.2532
305,LIVE,NEW_DATA,8.6878,98.8099,35.6499,8.6878,98.8099,35.6499
306,LIVE,NEW_DATA,10.1332,98.1722,36.9432,10.1332,98.1722,36.9432
307,LIVE,NEW_DATA,10.1169,97.5939,37.5906,10.1169,97.5939,37.5906
